feature,importance,std
hjorth_mobility_ch8,0.1184613452798404,0.00872853840401496
beta_abs_ch8,0.04647868587841435,0.0038183327268781365
hjorth_mobility_ch15,0.029622662432027602,0.0031317517889199666
hjorth_complexity_ch15,0.024357153720014058,0.0032105980078514893
hjorth_mobility_ch4,0.012376830630009161,0.0023374003205762746
beta_abs_ch13,0.006649024385636518,0.0012600527580503107
hjorth_complexity_ch4,0.0035756137093250428,0.0013839861687795956
beta_abs_ch17,0.0029000697827293643,0.001161512900857824
hjorth_activity_ch8,0.0008636743614633587,0.00046562904593936306
entropy_ch8,0.000780084618171221,0.0008289931987926977
hjorth_complexity_ch8,0.000680301183740443,0.0004555198186039303
beta_rel_ch8,0.0005846961083662228,0.00019472978436753215
hjorth_activity_ch19,0.0004242549991886779,0.0006207577329828712
hjorth_complexity_ch14,0.00042238414244179326,0.000187969530403855
hjorth_mobility_ch5,0.00040617188042882575,0.0001452185049487671
delta_rel_ch15,0.00034118762876829135,0.00019489193256011522
hjorth_complexity_ch5,0.00024371125127748973,0.00021791849063046458
hjorth_activity_ch5,0.000222085203871288,0.00037870299493712533
delta_abs_ch15,0.00014626189422337622,0.00014899508609935198
hjorth_activity_ch6,0.0001300226117737206,0.0001216250164476955
hjorth_activity_ch17,4.329777950771903e-05,0.00029689216290189536
alpha_abs_ch8,3.928918506178232e-05,0.00014700666950674625
beta_abs_ch18,3.399844770251755e-05,0.00045540045706962137
beta_abs_ch1,1.6252826471715073e-05,6.081250822384775e-05
delta_abs_ch9,0.0,0.0
delta_abs_ch8,0.0,0.0
delta_abs_ch7,0.0,0.0
delta_abs_ch6,0.0,0.0
delta_abs_ch2,0.0,0.0
alpha_abs_ch4,0.0,0.0
alpha_abs_ch5,0.0,0.0
alpha_abs_ch6,0.0,0.0
alpha_abs_ch7,0.0,0.0
alpha_abs_ch9,0.0,0.0
paf_ch6,0.0,0.0
paf_ch7,0.0,0.0
paf_ch8,0.0,0.0
paf_ch9,0.0,0.0
paf_ch10,0.0,0.0
paf_ch11,0.0,0.0
paf_ch12,0.0,0.0
paf_ch13,0.0,0.0
paf_ch14,0.0,0.0
paf_ch15,0.0,0.0
alpha_abs_ch16,0.0,0.0
alpha_abs_ch17,0.0,0.0
alpha_abs_ch18,0.0,0.0
alpha_abs_ch19,0.0,0.0
beta_abs_ch5,0.0,0.0
theta_abs_ch13,0.0,0.0
theta_abs_ch14,0.0,0.0
theta_abs_ch15,0.0,0.0
theta_abs_ch16,0.0,0.0
theta_abs_ch17,0.0,0.0
theta_abs_ch18,0.0,0.0
theta_abs_ch19,0.0,0.0
alpha_abs_ch1,0.0,0.0
alpha_abs_ch2,0.0,0.0
alpha_abs_ch3,0.0,0.0
beta_abs_ch12,0.0,0.0
beta_abs_ch14,0.0,0.0
beta_abs_ch15,0.0,0.0
beta_abs_ch16,0.0,0.0
beta_abs_ch19,0.0,0.0
delta_rel_ch1,0.0,0.0
delta_rel_ch2,0.0,0.0
delta_rel_ch3,0.0,0.0
alpha_abs_ch11,0.0,0.0
alpha_abs_ch12,0.0,0.0
alpha_abs_ch13,0.0,0.0
alpha_abs_ch14,0.0,0.0
alpha_abs_ch15,0.0,0.0
delta_rel_ch7,0.0,0.0
delta_rel_ch8,0.0,0.0
delta_rel_ch9,0.0,0.0
